"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic GEOCOMP","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree"
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4887871,288589,290369,321430,188717,461302,635976,593480,626173,652172,493396,251025,85242,4887871,3306838,1307040,22063,65095,1797,84027,101011,4887871,4676386,3192169,1298603,20450,64942,1797,6970,91455,211485,114669,8437,1613,153,0,77057,9556,3337464,448179,1026976,1010272,536086,229484,50881,35586
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737438,52173,52544,49747,28996,68625,117688,97020,89333,93312,59630,21000,7370,737438,474555,25197,111371,46381,7958,9780,62196,737438,684369,443304,24011,107887,45513,7877,895,54882,53069,31251,1186,3484,868,81,8885,7314,485353,32444,137293,169188,89635,38582,10849,7362
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7171646,434032,441613,488738,277616,689343,979328,882618,852462,866793,727956,398408,132739,7171646,5590505,336340,330599,237873,15661,373688,286980,7171646,4905304,3894250,310388,277800,232105,14177,9960,166624,2266342,1696255,25952,52799,5768,1484,363728,120356,4840304,605934,1159297,1636580,898032,389350,88079,63032
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013825,188092,192523,203502,119843,287926,392937,367053,370343,383930,296808,154699,56169,3013825,2306096,456714,20951,47548,9398,84917,88201,3013825,2783525,2174167,454521,17615,46681,9278,4612,76651,230300,131929,2193,3336,867,120,80305,11550,2021939,258986,686867,604811,296422,125495,30069,19289
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39557045,2428493,2398894,2646096,1512055,3755863,6034398,5264457,5068026,4781426,3286461,1651296,729580,39557045,23535388,2283850,302792,5821585,155739,5453229,2004462,39557045,24016903,14495479,2179078,139116,5741886,143302,100696,1217346,15540142,9039909,104772,163676,79699,12437,5352533,787116,26815644,4355017,5559362,7730189,5704852,2365794,654240,446190
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695564,335642,352145,364535,214416,528539,889656,781388,710218,711170,502418,218031,87406,5695564,4790677,237578,55146,180277,7585,196831,227470,5695564,4460437,3859171,223299,31977,177495,6616,10755,151124,1235127,931506,14279,23169,2782,969,186076,76346,3900287,317116,812615,1145007,1013989,444914,98977,67669
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3572665,181224,191879,224026,137937,344203,447891,424573,494642,513143,343060,182391,87696,3572665,2688136,391552,9507,165855,1017,195208,121390,3572665,2982855,2367636,357164,5105,164859,244,11387,76460,589810,320500,34388,4402,996,773,183821,44930,2493396,226254,669967,609945,544028,325902,75528,41772
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967171,54335,51828,62410,34577,84321,127399,112393,122887,136265,107895,54257,18604,967171,659781,217594,4397,39023,896,19652,25828,967171,875196,598105,210908,3397,38860,820,1258,21848,91975,61676,6686,1000,163,76,18394,3980,679700,69081,225797,171830,124178,66391,10766,11657
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702455,45490,32857,33386,15481,75065,163467,105535,75526,70022,48833,25892,10901,702455,296747,319777,1932,27538,397,30897,25167,702455,623206,259371,311654,1281,26959,336,3502,20103,79249,37376,8123,651,579,61,27395,5064,500176,39628,82900,75478,129782,109855,42734,19799
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21299325,1135392,1127602,1244592,720289,1769325,2758515,2586704,2741968,2856154,2404234,1393550,561000,21299325,15899574,3410741,59870,593634,12841,708740,613925,21299325,15736873,11344261,3252558,41492,580229,9694,81784,426855,5562452,4555313,158183,18378,13405,3147,626956,187070,15302125,1761732,4387954,4505209,2920459,1190545,354163,182063
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10519475,645488,683042,739018,435745,1038010,1442243,1401044,1396330,1282127,896948,416680,142800,10519475,6127645,3319691,34485,436051,14049,301148,286406,10519475,9497721,5493804,3281137,17359,431551,11618,33630,228622,1021754,633841,38554,17126,4500,2431,267518,57784,6978172,866099,1942122,1945918,1362317,606345,156547,98824
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420491,87437,84434,84576,46808,121647,201025,181541,171390,180166,149372,72022,40073,1420491,345652,28325,3237,534479,144971,18052,345775,1420491,1269135,308375,26978,1976,521237,134876,1321,274372,151356,37277,1347,1261,13242,10095,16731,71403,995589,80079,266728,315209,218828,79475,21301,13969
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754208,113693,123959,129947,77771,165091,228080,219713,201135,215378,168397,81341,29703,1754208,1576846,12075,23026,27026,2763,59217,53255,1754208,1531744,1434463,10007,18867,26186,2222,1429,38570,222464,142383,2068,4159,840,541,57788,14685,1143747,103868,318218,405399,213462,72465,16764,13571
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12741080,759456,762237,838140,495969,1178902,1765517,1644390,1636054,1669867,1143329,587651,259568,12741080,9135145,1793079,35846,717938,5317,712778,340977,12741080,10532212,7760732,1759316,17215,711970,2887,24310,255782,2208868,1374413,33763,18631,5968,2430,688468,85195,8706376,914782,2269285,2469625,1833666,887459,206789,124770
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6691878,417774,430155,451395,267733,656928,874246,826473,841750,874278,613699,310870,126577,6691878,5539927,637277,14040,154220,3470,162303,180641,6691878,6219459,5266285,628603,10560,152940,3249,15103,142719,472419,273642,8674,3480,1280,221,147200,37922,4467893,491834,1480040,1284953,771811,325867,65283,48105
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3156145,197883,197454,215222,122830,317964,394507,383617,369396,419454,299333,162869,75616,3156145,2846099,115137,11494,79971,3463,30713,69268,3156145,2964672,2695583,113562,9710,79643,2945,4000,59229,191473,150516,1575,1784,328,518,26713,10039,2104792,162649,649269,682334,413442,133905,35684,27509
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2911510,186990,190475,208695,118991,294933,376422,359447,339683,373683,264050,134355,63786,2911510,2446823,171141,26829,82444,2929,73293,108051,2911510,2563067,2201742,163132,21136,81824,2562,1963,90708,348443,245081,8009,5693,620,367,71330,17343,1911426,172033,485753,607497,402368,179315,36989,27471
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468402,273489,279978,285833,168481,421207,579520,553107,575373,600022,435465,217279,78648,4468402,3875023,354761,8470,65300,4943,51887,108018,4468402,4306896,3776055,349542,6878,64830,4003,8661,96927,161506,98968,5219,1592,470,940,43226,11091,3039414,401064,990911,893654,442090,226181,53628,31886
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4659978,301857,297439,317930,180359,436660,645255,589714,567313,602841,434897,211869,73844,4659978,2877115,1509407,25657,76255,1133,65366,105045,4659978,4420024,2720774,1499008,22714,74845,606,10835,91242,239954,156341,10399,2943,1410,527,54531,13803,3125733,442559,1071772,852749,496634,183295,49150,29574
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338404,63410,67860,72549,44733,106470,159944,153436,180466,213467,163953,77267,34849,1338404,1261453,18954,8566,15683,465,3264,30019,1338404,1315993,1245001,18501,8204,15356,89,1315,27527,22411,16452,453,362,327,376,1949,2492,983382,68461,309259,295612,197489,79762,19204,13595
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042718,361435,364571,385477,226872,537024,826526,775079,822740,811953,546442,276084,108515,6042718,3305047,1810885,13433,378985,7311,304042,223015,6042718,5414283,3035148,1782090,9701,376805,2263,25852,182424,628435,269899,28795,3732,2180,5048,278190,40591,4167339,396131,1009495,1061018,911761,546260,133920,108754
