"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001
"0101","50000US0101","Congressional District 1 (115th Congress), Alabama","Congressional District 1 (115th Congress), Alabama","al","500","00 ","ACSSF","0000048",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,,,,,,704457
"0102","50000US0102","Congressional District 2 (115th Congress), Alabama","Congressional District 2 (115th Congress), Alabama","al","500","00 ","ACSSF","0000049",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,,,,,,681621
"0103","50000US0103","Congressional District 3 (115th Congress), Alabama","Congressional District 3 (115th Congress), Alabama","al","500","00 ","ACSSF","0000050",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,,,,,,709482
"0104","50000US0104","Congressional District 4 (115th Congress), Alabama","Congressional District 4 (115th Congress), Alabama","al","500","00 ","ACSSF","0000051",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,,,,,,683273
"0105","50000US0105","Congressional District 5 (115th Congress), Alabama","Congressional District 5 (115th Congress), Alabama","al","500","00 ","ACSSF","0000052",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,,,,,,712529
"0106","50000US0106","Congressional District 6 (115th Congress), Alabama","Congressional District 6 (115th Congress), Alabama","al","500","00 ","ACSSF","0000053",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,,,,,,706308
"0107","50000US0107","Congressional District 7 (115th Congress), Alabama","Congressional District 7 (115th Congress), Alabama","al","500","00 ","ACSSF","0000054",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,,,,,,665630
"0200","50000US0200","Congressional District (at Large) (115th Congress), Alaska","Congressional District (at Large) (115th Congress), Alaska","ak","500","00 ","ACSSF","0000018",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,,,,,,741894
"0401","50000US0401","Congressional District 1 (115th Congress), Arizona","Congressional District 1 (115th Congress), Arizona","az","500","00 ","ACSSF","0000045",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,,,,,,766924
"0402","50000US0402","Congressional District 2 (115th Congress), Arizona","Congressional District 2 (115th Congress), Arizona","az","500","00 ","ACSSF","0000046",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,,,,,,722770
"0403","50000US0403","Congressional District 3 (115th Congress), Arizona","Congressional District 3 (115th Congress), Arizona","az","500","00 ","ACSSF","0000047",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,,,,,,752284
"0404","50000US0404","Congressional District 4 (115th Congress), Arizona","Congressional District 4 (115th Congress), Arizona","az","500","00 ","ACSSF","0000048",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,,,,,,753807
"0405","50000US0405","Congressional District 5 (115th Congress), Arizona","Congressional District 5 (115th Congress), Arizona","az","500","00 ","ACSSF","0000049",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,,,,,,785110
