Geography,Population Estimate (as of July 1) - 2018 - Both Sexes; Total,Population Estimate (as of July 1) - 2018 - Male; Total,Population Estimate (as of July 1) - 2018 - Female; Total,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 65 years and over,Population Estimate (as of July 1) - 2018 - Male; 65 years and over,Population Estimate (as of July 1) - 2018 - Female; 65 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; 85 years and over,Population Estimate (as of July 1) - 2018 - Male; 85 years and over,Population Estimate (as of July 1) - 2018 - Female; 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; 16 years and over,Population Estimate (as of July 1) - 2018 - Male; 16 years and over,Population Estimate (as of July 1) - 2018 - Female; 16 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 years and over,Population Estimate (as of July 1) - 2018 - Male; 18 years and over,Population Estimate (as of July 1) - 2018 - Female; 18 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; 15 to 44 years,Population Estimate (as of July 1) - 2018 - Male; 15 to 44 years,Population Estimate (as of July 1) - 2018 - Female; 15 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2018 - Male; Median age (years),Population Estimate (as of July 1) - 2018 - Female; Median age (years)
Alabama,4887871,2364115,2523756,293203,149264,143939,297900,152067,145833,310495,158277,152218,315680,159983,155697,325220,163656,161564,340014,169352,170662,303526,148045,155481,303994,147667,156327,288308,139271,149037,312966,151761,161205,314492,152594,161898,336811,161560,175251,318368,149995,168373,270799,125476,145323,216922,99022,117900,150858,65915,84943,98450,40077,58373,89865,30133,59732,1089840,555176,534664,293203,149264,143939,546836,278878,267958,249801,127034,122767,2971137,1448316,1522821,452658,228071,224587,1235842,604335,631507,1282637,615910,666727,826894,360623,466271,89865,30133,59732,3924665,1873206,2051459,3798031,1808939,1989092,1876742,927974,948768,39.2,37.8,40.7
Alaska,737438,384573,352865,53115,27082,26033,52056,26798,25258,49759,25640,24119,46263,24307,21956,53000,30355,22645,61672,33104,28568,57193,29998,27195,51672,26943,24729,42978,22482,20496,43558,22764,20794,44559,23231,21328,49246,25514,23732,45356,23113,22243,35078,18106,16972,23477,12088,11389,13893,6933,6960,7710,3521,4189,6853,2594,4259,183816,94292,89524,53115,27082,26033,92149,47532,44617,38552,19678,18874,466611,247039,219572,70377,39890,30487,213515,112527,100988,182719,94622,88097,87011,43242,43769,6853,2594,4259,572872,300173,272699,553622,290281,263341,312778,167189,145589,34.6,34.1,35.1
Arizona,7171646,3565339,3606307,435936,222960,212976,451726,230196,221530,476421,242893,233528,473794,242159,231635,492176,256152,236024,517980,269123,248857,467865,242241,225624,458887,233759,225128,421544,211714,209830,432165,215346,216819,418625,206038,212587,442085,213916,228169,424192,199268,224924,389729,181253,208476,336433,158335,178098,239494,111815,127679,150319,69990,80329,142275,58181,84094,1642657,837871,804786,435936,222960,212976,834075,425117,408958,372646,189794,182852,4270739,2147894,2122845,687396,356489,330907,1866276,956837,909439,1717067,834568,882499,1258250,579574,678676,142275,58181,84094,5716353,2822894,2893459,5528989,2727468,2801521,2832246,1455148,1377098,37.9,36.6,39.3
Arkansas,3013825,1480143,1533682,190343,97731,92612,193284,98924,94360,200786,102639,98147,197707,101355,96352,201638,102670,98968,206497,103979,102518,190091,95103,94988,191673,95770,95903,176845,87576,89269,184172,90727,93445,184495,90653,93842,198163,96542,101621,186304,88463,97841,162561,76090,86471,133450,61979,71471,95234,42782,52452,61565,26186,35379,59017,20974,38043,703180,360323,342857,190343,97731,92612,354555,181399,173156,158282,81193,77089,1798818,891809,907009,280578,142996,137582,765106,382428,382678,753134,366385,386749,511827,228011,283816,59017,20974,38043,2389973,1160540,1229433,2310645,1119820,1190825,1164451,586453,577998,38.3,37.0,39.6
California,39557045,19663577,19893468,2441300,1249515,1191785,2488902,1271644,1217258,2547973,1302096,1245877,2545375,1299512,1245863,2711800,1395963,1315837,3125816,1615551,1510265,2917983,1503731,1414252,2754980,1400228,1354752,2500691,1252659,1248032,2568083,1278946,1289137,2503891,1246725,1257166,2518810,1236166,1282644,2262416,1088287,1174129,1853102,869380,983722,1432312,659696,772616,976718,435135,541583,663308,282868,380440,743585,275475,468110,8989955,4594513,4395442,2441300,1249515,1191785,4532767,2316836,2215931,2015888,1028162,987726,24898065,12546510,12351555,3745395,1924217,1821178,11299470,5772169,5527301,9853200,4850124,5003076,5669025,2522554,3146471,743585,275475,468110,31576999,15584687,15992312,30567090,15069064,15498026,16556645,8467644,8089001,36.8,35.7,37.9
Colorado,5695564,2867868,2827696,336854,171875,164979,347953,178246,169707,365378,186758,178620,363364,187092,176272,378514,198446,180068,453907,237618,216289,440515,230112,210403,415058,213837,201221,365021,187414,177607,367581,187909,179672,342590,171416,171174,367276,179841,187435,343324,166684,176640,288077,138241,149836,212721,101535,111186,134107,61396,72711,84960,37054,47906,88364,32394,55970,1265235,646769,618466,336854,171875,164979,640152,327675,312477,288229,147219,141010,3622100,1850479,1771621,526828,275648,251180,1674501,868981,805520,1420771,705850,714921,808229,370620,437609,88364,32394,55970,4572754,2293825,2278929,4430329,2221099,2209230,2416379,1254519,1161860,36.9,36.0,37.9
Connecticut,3572665,1743395,1829270,183134,93687,89447,196011,99943,96068,217897,110797,107100,241904,123527,118377,243116,125168,117948,222923,115760,107163,222467,111857,110610,217876,107235,110641,205460,100370,105090,234976,113742,121234,259975,125855,134120,269467,130310,139157,242338,116986,125352,190320,89542,100778,153250,70272,82978,107386,47457,59929,72294,29724,42570,91871,31163,60708,735193,375378,359815,183134,93687,89447,368856,187730,181126,183203,93961,89242,2222351,1099859,1122492,346869,177744,169125,868726,435222,433504,1006756,486893,519863,615121,268158,346963,91871,31163,60708,2930340,1415760,1514580,2837472,1368017,1469455,1353746,683917,669829,41.0,39.2,42.7
Delaware,967171,467927,499244,54811,27658,27153,56247,28488,27759,57654,29050,28604,60363,30580,29783,58349,29692,28657,66980,33770,33210,62083,30979,31104,58850,29056,29794,52618,25417,27201,58432,28213,30219,64059,30528,33531,68793,32533,36260,66846,31068,35778,59514,27350,32164,48680,22480,26200,32805,14868,17937,20250,8878,11372,19837,7319,12518,203616,103086,100530,54811,27658,27153,102337,51668,50669,46468,23760,22708,582469,283946,298523,83808,42382,41426,240531,119222,121309,258130,122342,135788,181086,80895,100191,19837,7319,12518,786785,376776,410009,763555,364841,398714,359243,179494,179749,40.7,39.1,42.4
District of Columbia,702455,333307,369148,45617,23103,22514,37622,19126,18496,28573,14294,14279,36900,17535,19365,52924,23793,29131,83096,38651,44445,80991,38517,42474,62212,30585,31627,43462,21565,21897,38787,19559,19228,36666,18277,18389,36676,17999,18677,33626,15465,18161,27984,12184,15800,21120,9000,12120,14419,5904,8515,9627,3744,5883,12153,4006,8147,127494,64395,63099,45617,23103,22514,60979,30840,30139,20898,10452,10446,489658,234074,255584,74142,33456,40686,269761,129318,140443,145755,71300,74455,85303,34838,50465,12153,4006,8147,585567,274188,311379,574961,268912,306049,359585,170646,188939,34.0,33.8,34.2
Florida,21299325,10411777,10887548,1143183,584881,558302,1157587,591075,566512,1206247,614857,591390,1206422,617476,588946,1269823,649654,620169,1436477,732779,703698,1351778,684545,667233,1318582,657492,661090,1250182,616291,633891,1351855,666092,685763,1394517,680591,713926,1470580,705738,764842,1384021,645062,738959,1271880,585823,686057,1126022,521718,604304,833186,382138,451048,555564,248280,307284,571419,227285,344134,4229081,2158935,2070146,1143183,584881,558302,2124747,1084179,1040568,961151,489875,471276,12712173,6287598,6424575,1754181,899008,855173,5357019,2691107,2665912,5600973,2697483,2903490,4358071,1965244,2392827,571419,227285,344134,17558925,8501791,9057134,17070244,8252842,8817402,7833264,3958237,3875027,42.2,40.6,43.8
