Geography,Population Estimate (as of July 1) - 2014 - Both Sexes; Total,Population Estimate (as of July 1) - 2014 - Male; Total,Population Estimate (as of July 1) - 2014 - Females; Total,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2014 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2014 - Females; Total - Under 5 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2014 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2014 - Females; Total - 5 to 9 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2014 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2014 - Females; Total - 10 to 14 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2014 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2014 - Females; Total - 15 to 19 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2014 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2014 - Females; Total - 20 to 24 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2014 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2014 - Females; Total - 25 to 29 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2014 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2014 - Females; Total - 30 to 34 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2014 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2014 - Females; Total - 35 to 39 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2014 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2014 - Females; Total - 40 to 44 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2014 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2014 - Females; Total - 45 to 49 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2014 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2014 - Females; Total - 50 to 54 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2014 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2014 - Females; Total - 55 to 59 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2014 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2014 - Females; Total - 60 to 64 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2014 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2014 - Females; Total - 65 to 69 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2014 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2014 - Females; Total - 70 to 74 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2014 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2014 - Females; Total - 75 to 79 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2014 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2014 - Females; Total - 80 to 84 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2014 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2014 - Females; Total - 85 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; Under 18 years,Population Estimate (as of July 1) - 2014 - Male; Under 18 years,Population Estimate (as of July 1) - 2014 - Females; Under 18 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2014 - Male; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2014 - Females; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2014 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2014 - Females; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2014 - Male; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2014 - Females; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2014 - Both Sexes; 18 to 64 years,Population Estimate (as of July 1) - 2014 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2014 - Females; 18 to 64 years,Population Estimate (as of July 1) - 2014 - Both Sexes; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2014 - Male; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2014 - Females; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2014 - Both Sexes; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2014 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2014 - Females; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2014 - Both Sexes; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2014 - Male; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2014 - Females; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2014 - Both Sexes; 65 years and over,Population Estimate (as of July 1) - 2014 - Male; 65 years and over,Population Estimate (as of July 1) - 2014 - Females; 65 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; 85 years and over,Population Estimate (as of July 1) - 2014 - Male; 85 years and over,Population Estimate (as of July 1) - 2014 - Females; 85 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; 16 years and over,Population Estimate (as of July 1) - 2014 - Male; 16 years and over,Population Estimate (as of July 1) - 2014 - Females; 16 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; 18 years and over,Population Estimate (as of July 1) - 2014 - Male; 18 years and over,Population Estimate (as of July 1) - 2014 - Females; 18 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; 15 to 44 years,Population Estimate (as of July 1) - 2014 - Male; 15 to 44 years,Population Estimate (as of July 1) - 2014 - Females; 15 to 44 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2014 - Male; Median age (years),Population Estimate (as of July 1) - 2014 - Females; Median age (years)
Alabama,4864745,2356253,2508492,293203,149264,143939,319655,163417,156238,329919,168664,161255,357220,179220,178000,324271,160561,163710,301946,147315,154631,311071,152707,158364,345434,168666,176768,347144,168175,178969,334836,160689,174147,306321,144550,161771,270799,125476,145323,122866,51945,70921,90025,34529,55496,81824,25854,55970,1102602,561727,540875,293690,149337,144353,263298,135172,128126,2994157,1465364,1528793,485460,243907,241553,1228723,601651,627072,1288648,620076,668572,826894,360623,466271,3782194,1811034,1971160,3675008,1754422,1920586,1905375,944156,961219,38.7,37.2,40.1,,,,,,,,,,,,,,,
Alaska,741504,388088,353416,53115,27082,26033,50816,26147,24669,50776,26589,24187,60984,34433,26551,61511,33032,28479,57616,30364,27252,47141,24646,22495,54384,28248,26136,55593,28984,26609,51633,26648,24985,44488,22874,21614,35078,18106,16972,8892,4150,4742,6231,2750,3481,5450,1986,3464,186072,95709,90363,54169,27710,26459,41795,21540,20255,470351,247859,222492,77749,42779,34970,207963,109702,98261,189181,98349,90832,87011,43242,43769,544226,284307,259919,533484,278842,254642,316707,169098,147609,33.9,33.4,34.4,,,,,,,,,,,,,,,
Arizona,6945452,3452831,3492621,435936,222960,212976,448665,228998,219667,453863,233763,220100,487421,252616,234805,471461,244963,226498,460084,237684,222400,406801,205899,200902,426113,212229,213884,426693,209000,217693,412850,197503,215347,398785,186694,212091,389729,181253,208476,162286,76242,86044,122640,54307,68333,118008,44927,73081,1628982,830783,798199,436469,223281,213188,359792,184563,175229,3892303,1948661,1943642,663209,344622,318587,1742827,889296,853531,1677477,814163,863314,1258250,579574,678676,4944752,2437250,2507502,4857517,2394166,2463351,2659920,1362475,1297445,37.1,35.8,38.5,,,,,,,,,,,,,,,
Arkansas,2990410,1469237,1521173,190343,97731,92612,197566,100900,96666,200007,102484,97523,213024,107980,105044,196985,98762,98223,189874,94950,94924,182594,91214,91380,204819,101063,103756,203200,100113,103087,194240,94082,100158,180296,85559,94737,162561,76090,86471,77749,33932,43817,56608,22644,33964,54364,18220,36144,706559,361825,344734,190951,98146,92805,158280,81113,77167,1788801,886911,901890,290876,147770,143106,750223,374549,375674,756300,368361,387939,511827,228011,283816,2284836,1108911,1175925,2228773,1080335,1148438,1158854,582683,576171,37.8,36.5,39.2,,,,,,,,,,,,,,,
California,39209127,19481988,19727139,2441300,1249515,1191785,2590933,1325918,1265015,2745343,1412860,1332483,2920741,1509685,1411056,2991879,1545742,1446137,2884009,1483500,1400509,2609131,1313323,1295808,2682653,1338774,1343879,2616647,1295206,1321441,2440909,1191985,1248924,2168334,1038722,1129612,1853102,869380,983722,767024,337193,429831,609029,251716,357313,666080,237396,428684,9116168,4657046,4459122,2466736,1262539,1204197,2201943,1131678,1070265,23766813,11938117,11828696,4003986,2069957,1934029,10856078,5510508,5345570,9857874,4848495,5009379,5669025,2522554,3146471,29079607,14338302,14741305,28397114,13970893,14426221,16316565,8316175,8000390,36.1,35.0,37.3,,,,,,,,,,,,,,,
Colorado,5540921,2787010,2753911,336854,171875,164979,332652,170192,162460,341541,176821,164720,370288,193284,177004,414431,215039,199392,431696,225238,206458,346039,175758,170281,369682,184245,185437,375033,185454,189579,358862,176250,182612,329524,159781,169743,288077,138241,149836,96908,43456,53452,74974,31189,43785,78192,26872,51320,1257613,643438,614175,335375,171012,164363,265861,136753,129108,3266657,1655199,1611458,503953,262314,241639,1524384,784862,739522,1416188,701703,714485,808229,370620,437609,3937955,1962124,1975831,3889240,1935472,1953768,2210129,1139775,1070354,36.5,35.6,37.5,,,,,,,,,,,,,,,
Connecticut,3578674,1745576,1833098,183134,93687,89447,240267,122925,117342,256905,131376,125529,237978,123925,114053,219493,112770,106723,220493,110511,109982,262037,127555,134482,290506,141340,149166,287378,139972,147406,268254,130466,137788,231142,111337,119805,190320,89542,100778,89253,37908,51345,76721,30479,46242,90024,29379,60645,761732,389380,372352,183875,94019,89856,200850,102939,97911,2256034,1111503,1144531,341498,176234,165264,875769,434686,441083,1027779,497715,530064,615121,268158,346963,2859244,1373943,1485301,2783418,1335891,1447527,1374861,690811,684050,40.8,39.0,42.5,,,,,,,,,,,,,,,
Delaware,949216,459131,490085,54811,27658,27153,56848,28953,27895,62567,31626,30941,65583,32850,32733,65816,32939,32877,60605,30286,30319,60758,29390,31368,67431,32704,34727,67302,32341,34961,65473,31020,34453,62286,28863,33423,59514,27350,32164,23885,10656,13229,17795,7552,10243,17305,5965,11340,203765,103512,100253,54710,27574,27136,47986,24541,23445,563972,274070,289902,92701,46261,46440,232868,114537,118331,257278,121970,135308,181086,80895,100191,716851,342695,374156,702510,335016,367494,355936,176469,179467,40.0,38.3,41.6,,,,,,,,,,,,,,,
District of Columbia,686575,325859,360716,45617,23103,22514,25043,12643,12400,39041,18541,20500,56688,26550,30138,81960,37544,44416,79412,37930,41482,37734,19136,18598,38618,19565,19053,37893,18739,19154,36664,17504,19160,33302,15167,18135,27984,12184,15800,11820,4782,7038,9518,3501,6017,11237,3482,7755,119103,60217,58886,45425,23102,22323,22154,11037,11117,434714,206955,227759,81050,37135,43915,246029,117726,128303,147527,72007,75520,85303,34838,50465,512613,239219,273394,515698,240828,274870,333764,159115,174649,33.9,33.7,34.1,,,,,,,,,,,,,,,
Florida,20629982,10088662,10541320,1143183,584881,558302,1130855,578699,552156,1194935,616427,578508,1320127,673521,646606,1345085,686164,658921,1323042,668649,654393,1252787,623330,629457,1398607,690159,708448,1391171,677653,713518,1342020,639198,702822,1299476,603812,695664,1271880,585823,686057,615518,280088,335430,490791,212263,278528,493262,186730,306532,4101898,2095110,2006788,1137288,582613,554675,946407,486446,459961,11569961,5707957,5862004,1784961,914212,870749,4955037,2481167,2473870,5481166,2638540,2842626,4358071,1965244,2392827,15286518,7393753,7892765,15094166,7292831,7801335,7368449,3718295,3650154,41.8,40.2,43.3,,,,,,,,,,,,,,,
Georgia,10304763,5016351,5288412,657414,335343,322071,689707,352596,337111,701840,359624,342216,727564,369884,357680,710994,354516,356478,696903,341823,355080,699481,344098,355383,723258,353524,369734,690788,335427,355361,638190,305511,332679,570653,266720,303933,500976,228680,272296,182753,77171,105582,131998,50723,81275,126856,39442,87414,2497162,1271761,1225401,658020,335215,322805,555519,284459,271060,6181327,3027672,3153655,1009652,513916,495736,2745860,1344702,1401158,2650358,1274458,1375900,1460409,636519,823890,7479198,3602229,3876969,7315514,3517375,3798139,4157430,2066544,2090886,36.3,35.0,37.6,,,,,,,,,,,,,,,
