Name of Area,Total Population:,Total Population:.1,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
Alabama,4887871,4887871,3306838,1307040,22063,65095,1797,84027,101011,4887871,4676386,3192169,1298603,20450,64942,1797,6970,91455,211485,114669,8437,1613,153,0,77057,9556
Alaska,737438,737438,474555,25197,111371,46381,7958,9780,62196,737438,684369,443304,24011,107887,45513,7877,895,54882,53069,31251,1186,3484,868,81,8885,7314
Arizona,7171646,7171646,5590505,336340,330599,237873,15661,373688,286980,7171646,4905304,3894250,310388,277800,232105,14177,9960,166624,2266342,1696255,25952,52799,5768,1484,363728,120356
Arkansas,3013825,3013825,2306096,456714,20951,47548,9398,84917,88201,3013825,2783525,2174167,454521,17615,46681,9278,4612,76651,230300,131929,2193,3336,867,120,80305,11550
California,39557045,39557045,23535388,2283850,302792,5821585,155739,5453229,2004462,39557045,24016903,14495479,2179078,139116,5741886,143302,100696,1217346,15540142,9039909,104772,163676,79699,12437,5352533,787116
Colorado,5695564,5695564,4790677,237578,55146,180277,7585,196831,227470,5695564,4460437,3859171,223299,31977,177495,6616,10755,151124,1235127,931506,14279,23169,2782,969,186076,76346
Connecticut,3572665,3572665,2688136,391552,9507,165855,1017,195208,121390,3572665,2982855,2367636,357164,5105,164859,244,11387,76460,589810,320500,34388,4402,996,773,183821,44930
Delaware,967171,967171,659781,217594,4397,39023,896,19652,25828,967171,875196,598105,210908,3397,38860,820,1258,21848,91975,61676,6686,1000,163,76,18394,3980
District of Columbia,702455,702455,296747,319777,1932,27538,397,30897,25167,702455,623206,259371,311654,1281,26959,336,3502,20103,79249,37376,8123,651,579,61,27395,5064
Florida,21299325,21299325,15899574,3410741,59870,593634,12841,708740,613925,21299325,15736873,11344261,3252558,41492,580229,9694,81784,426855,5562452,4555313,158183,18378,13405,3147,626956,187070
Georgia,10519475,10519475,6127645,3319691,34485,436051,14049,301148,286406,10519475,9497721,5493804,3281137,17359,431551,11618,33630,228622,1021754,633841,38554,17126,4500,2431,267518,57784
Hawaii,1420491,1420491,345652,28325,3237,534479,144971,18052,345775,1420491,1269135,308375,26978,1976,521237,134876,1321,274372,151356,37277,1347,1261,13242,10095,16731,71403
Idaho,1754208,1754208,1576846,12075,23026,27026,2763,59217,53255,1754208,1531744,1434463,10007,18867,26186,2222,1429,38570,222464,142383,2068,4159,840,541,57788,14685
Illinois,12741080,12741080,9135145,1793079,35846,717938,5317,712778,340977,12741080,10532212,7760732,1759316,17215,711970,2887,24310,255782,2208868,1374413,33763,18631,5968,2430,688468,85195
Indiana,6691878,6691878,5539927,637277,14040,154220,3470,162303,180641,6691878,6219459,5266285,628603,10560,152940,3249,15103,142719,472419,273642,8674,3480,1280,221,147200,37922
Iowa,3156145,3156145,2846099,115137,11494,79971,3463,30713,69268,3156145,2964672,2695583,113562,9710,79643,2945,4000,59229,191473,150516,1575,1784,328,518,26713,10039
Kansas,2911510,2911510,2446823,171141,26829,82444,2929,73293,108051,2911510,2563067,2201742,163132,21136,81824,2562,1963,90708,348443,245081,8009,5693,620,367,71330,17343
Kentucky,4468402,4468402,3875023,354761,8470,65300,4943,51887,108018,4468402,4306896,3776055,349542,6878,64830,4003,8661,96927,161506,98968,5219,1592,470,940,43226,11091
Louisiana,4659978,4659978,2877115,1509407,25657,76255,1133,65366,105045,4659978,4420024,2720774,1499008,22714,74845,606,10835,91242,239954,156341,10399,2943,1410,527,54531,13803
Maine,1338404,1338404,1261453,18954,8566,15683,465,3264,30019,1338404,1315993,1245001,18501,8204,15356,89,1315,27527,22411,16452,453,362,327,376,1949,2492
Maryland,6042718,6042718,3305047,1810885,13433,378985,7311,304042,223015,6042718,5414283,3035148,1782090,9701,376805,2263,25852,182424,628435,269899,28795,3732,2180,5048,278190,40591
Massachusetts,6902149,6902149,5335175,537523,16198,472403,2775,303331,234744,6902149,6055369,4882418,483673,10754,468665,2185,53791,153883,846780,452757,53850,5444,3738,590,249540,80861
Michigan,9995915,9995915,7825285,1376751,53012,325828,3907,118467,292665,9995915,9478534,7476047,1363183,46417,324358,3290,14443,250796,517381,349238,13568,6595,1470,617,104024,41869
Minnesota,5611179,5611179,4629375,367653,60983,273126,2396,102814,174832,5611179,5303166,4455388,362419,54989,271051,2025,8194,149100,308013,173987,5234,5994,2075,371,94620,25732
Mississippi,2986530,2986530,1735455,1135599,13234,26142,1372,29778,44950,2986530,2899404,1684276,1130353,12675,25819,1179,4320,40782,87126,51179,5246,559,323,193,25458,4168
Missouri,6126452,6126452,5035197,704327,27705,121417,7385,56557,173864,6126452,5872978,4857174,698641,23149,120440,7095,9832,156647,253474,178023,5686,4556,977,290,46725,17217
Montana,1062305,1062305,941438,5056,68013,8517,990,5828,32463,1062305,1020700,912200,4899,65452,8474,929,980,27766,41605,29238,157,2561,43,61,4848,4697
Nebraska,1929268,1929268,1666990,91221,18555,45779,1289,46473,58961,1929268,1714785,1515261,89377,14471,45534,800,2330,47012,214483,151729,1844,4084,245,489,44143,11949
Nevada,3034392,3034392,1924976,280385,44666,250137,19612,358786,155830,3034392,2153247,1469593,266440,30185,244471,18249,11810,112499,881145,455383,13945,14481,5666,1363,346976,43331
New Hampshire,1356458,1356458,1253931,23432,3562,36048,515,9013,29957,1356458,1303810,1217767,18950,3538,35901,473,1860,25321,52648,36164,4482,24,147,42,7153,4636
New Jersey,8908520,8908520,5956539,1207995,21131,868213,2909,604334,247399,8908520,7069161,4864534,1137645,8921,861223,1777,40261,154800,1839359,1092005,70350,12210,6990,1132,564073,92599
New Mexico,2095428,2095428,1599938,46064,200659,34155,2465,144961,67186,2095428,1066199,773039,39940,183944,31807,2030,3662,31777,1029229,826899,6124,16715,2348,435,141299,35409
New York,19542209,19542209,12375601,3069259,84312,1666113,9424,1689845,647655,19542209,15789686,10794347,2789585,45465,1651636,4765,97323,406565,3752523,1581254,279674,38847,14477,4659,1592522,241090
North Carolina,10383620,10383620,7098569,2222533,120845,306682,10218,326630,298143,10383620,9388091,6505973,2184448,108795,303651,8539,25927,250758,995529,592596,38085,12050,3031,1679,300703,47385
North Dakota,760077,760077,651687,25896,41270,13749,339,9569,17567,760077,732633,636952,25541,39559,13642,339,1584,15016,27444,14735,355,1711,107,0,7985,2551
Ohio,11689442,11689442,9470940,1446306,25672,271762,4228,112136,358398,11689442,11233524,9182383,1425930,18605,269314,3819,20784,312689,455918,288557,20376,7067,2448,409,91352,45709
Oklahoma,3943079,3943079,2845906,287680,307183,84694,3859,110013,303744,3943079,3514000,2570367,282571,293505,83919,3512,7652,272474,429079,275539,5109,13678,775,347,102361,31270
Oregon,4190713,4190713,3514983,82046,49051,190680,18758,137973,197222,4190713,3634316,3147602,77915,41055,188459,17844,6609,154832,556397,367381,4131,7996,2221,914,131364,42390
Pennsylvania,12807060,12807060,10256084,1428406,21418,455027,5008,307572,333545,12807060,11832297,9723288,1352804,14367,450077,3557,21357,266847,974763,532796,75602,7051,4950,1451,286215,66698
Rhode Island,1057315,1057315,852805,70749,4341,36064,883,59743,32730,1057315,888974,754990,61691,2772,35378,197,8922,25024,168341,97815,9058,1569,686,686,50821,7706
South Carolina,5084127,5084127,3407706,1353599,23672,80969,4004,92980,121197,5084127,4789625,3229793,1345077,16553,80638,3685,11601,102278,294502,177913,8522,7119,331,319,81379,18919
South Dakota,882235,882235,740870,19057,78068,15023,51,5782,23384,882235,848252,718783,18895,74907,14791,51,271,20554,33983,22087,162,3161,232,0,5511,2830
Tennessee,6770010,6770010,5235588,1137801,19136,119046,5494,101153,151792,6770010,6397109,4984848,1123551,15812,118553,4189,15771,134385,372901,250740,14250,3324,493,1305,85382,17407
Texas,28701845,28701845,21099066,3527027,149997,1430857,21463,1709445,763990,28701845,17333001,11881257,3409081,70676,1413916,18958,45166,493947,11368844,9217809,117946,79321,16941,2505,1664279,270043
Utah,3161105,3161105,2708195,40365,34678,75898,29362,171456,101151,3161105,2710885,2459891,37546,27959,74784,28810,6356,75539,450220,248304,2819,6719,1114,552,165100,25612
Vermont,626299,626299,589337,7621,1743,11859,139,2815,12785,626299,613849,579944,7206,1701,11841,139,1143,11875,12450,9393,415,42,18,0,1672,910
