Geographic Area Name,Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher
Alaska,36.2
Maine,31.7
North Carolina,34.7
Missouri,30.3
Pennsylvania,32.8
Michigan,30.3
Nebraska,33.4
Oregon,34.5
Wyoming,27.2
California,34.9
Mississippi,26.9
Connecticut,42.1
Texas,30.5
Idaho,28.4
Maryland,45.3
New Mexico,30.4
Alabama,28.2
Tennessee,28.5
Vermont,38.1
Nevada,26.7
West Virginia,21.2
Oklahoma,27.0
Wisconsin,31.1
Kansas,34.9
Virginia,42.0
North Dakota,30.5
New Jersey,41.6
Ohio,29.9
South Carolina,32.9
Georgia,34.6
Colorado,43.2
Hawaii,44.4
South Dakota,30.8
Indiana,27.6
Kentucky,25.2
Louisiana,28.2
Washington,36.8
Illinois,36.7
Iowa,29.1
New Hampshire,36.7
Rhode Island,35.9
Arkansas,24.9
Delaware,33.2
Minnesota,37.8
Montana,32.7
Arizona,30.9
Florida,32.0
Massachusetts,46.0
District of Columbia,90.5
Utah,36.3
New York,41.4
